Year,Values
1983,48.67680863
1984,50.65315117
1985,45.60372888
1986,45.51116041
1987,52.88289196
1988,62.71016206
1989,68.35473618
1990,73.61880764
1991,69.74883806
1992,69.90509116
1993,70.51780736
1994,62.01926548
1995,73.8874098
1996,73.37644279
1997,75.59923971
1998,71.23640967
1999,70.78308654
2000,72.38182211
2001,74.99785928
2002,72.61000825
2003,80.1044075
2004,75.12659637
2005,72.75099151
2006,85.55053209
2007,82.03378169
2008,76.58784319
2009,82.60268318
2010,80.78612409
2011,78.93179984
2012,83.45697873
2013,85.12405888
2014,87.37581647
2015,82.70458768
2016,85.89826189
