Iter: 0, D: 1.456, G:0.6719
Iter: 250, D: 1.456, G:0.8368
Iter: 500, D: 1.103, G:1.239
Iter: 750, D: 1.472, G:0.8571
Iter: 1000, D: 0.7266, G:1.557
Iter: 1250, D: 0.984, G:1.247
Iter: 1500, D: 1.183, G:3.464
Iter: 1750, D: 0.9471, G:1.801
Iter: 2000, D: 1.007, G:1.911
Iter: 2250, D: 1.158, G:1.079
Iter: 2500, D: 0.9704, G:1.365
Iter: 2750, D: 0.9719, G:1.275
Iter: 3000, D: 1.075, G:1.151
Iter: 3250, D: 1.122, G:0.9633
Iter: 3500, D: 1.026, G:1.696
Iter: 3750, D: 1.289, G:1.595
Iter: 4000, D: 1.033, G:1.316
Iter: 4250, D: 1.109, G:0.9322
Iter: 4500, D: 1.198, G:1.11
Iter: 4750, D: 1.261, G:0.8638
Iter: 5000, D: 1.187, G:1.16
Iter: 5250, D: 1.149, G:0.9897
Iter: 5500, D: 1.297, G:1.265
Iter: 5750, D: 1.159, G:0.9855
Iter: 6000, D: 1.192, G:1.107
Iter: 6250, D: 1.188, G:0.9642
Iter: 6500, D: 1.353, G:0.8436
Iter: 6750, D: 1.238, G:0.7376
Iter: 7000, D: 1.167, G:0.8758
Iter: 7250, D: 1.265, G:0.8853
Iter: 7500, D: 1.39, G:0.9934
Iter: 7750, D: 1.279, G:0.8696
Iter: 8000, D: 1.287, G:0.9726
Iter: 8250, D: 1.298, G:0.9674
Iter: 8500, D: 1.247, G:0.9482
Iter: 8750, D: 1.391, G:0.826
Iter: 9000, D: 1.24, G:0.9077
Iter: 9250, D: 1.256, G:1.007
Iter: 9500, D: 1.419, G:0.6208
Iter: 9750, D: 1.244, G:0.8745
Iter: 10000, D: 1.365, G:0.8857
Iter: 10250, D: 1.354, G:0.8125
Iter: 10500, D: 1.297, G:0.731
Iter: 10750, D: 1.305, G:0.8493
Iter: 11000, D: 1.369, G:0.8347
Iter: 11250, D: 1.304, G:0.8819
Iter: 11500, D: 1.357, G:0.8476
Iter: 11750, D: 1.379, G:0.8323
Iter: 12000, D: 1.379, G:0.9438
Iter: 12250, D: 1.339, G:0.8848
Iter: 12500, D: 1.336, G:0.932
Iter: 12750, D: 1.348, G:0.7171
Iter: 13000, D: 1.438, G:0.8195
Iter: 13250, D: 1.295, G:0.8602
Iter: 13500, D: 1.305, G:0.8941
Iter: 13750, D: 1.315, G:0.8369
Iter: 14000, D: 1.245, G:0.7907
Iter: 14250, D: 1.439, G:0.726
Iter: 14500, D: 1.319, G:0.8318
Iter: 14750, D: 1.273, G:0.946
Iter: 15000, D: 1.252, G:0.9618
Iter: 15250, D: 1.332, G:0.8883
Iter: 15500, D: 1.332, G:0.9537
Iter: 15750, D: 1.352, G:1.109
Iter: 16000, D: 1.336, G:0.8049
Iter: 16250, D: 1.327, G:0.8839
Iter: 16500, D: 1.313, G:0.9063
Iter: 16750, D: 1.377, G:0.8113
Iter: 17000, D: 1.336, G:0.8052
Iter: 17250, D: 1.321, G:0.8852
Iter: 17500, D: 1.286, G:0.9576
Iter: 17750, D: 1.232, G:0.8424
Iter: 18000, D: 1.326, G:0.8552
Iter: 18250, D: 1.331, G:0.7898
Iter: 18500, D: 1.277, G:0.8307
Iter: 18750, D: 1.248, G:0.8471
Iter: 19000, D: 1.323, G:0.8061
Iter: 19250, D: 1.299, G:0.7797
Iter: 19500, D: 1.283, G:0.8902
Iter: 19750, D: 1.288, G:0.8335
Iter: 20000, D: 1.228, G:0.9237
Iter: 20250, D: 1.304, G:0.8286
Iter: 20500, D: 1.304, G:0.8484
Iter: 20750, D: 1.285, G:0.966
Iter: 21000, D: 1.282, G:0.8151
Iter: 21250, D: 1.32, G:0.8184
